fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,analysis_id,measured_by,measured_by_other,date_started,analysis_remarks,ndf_correction_factors,adf_correction_factors,adl_correction_factors,ashing_correction_factors,sample_photos,sample_photos_caption,sample_photos_url,lab_notebook_photos,lab_notebook_photos_caption,lab_notebook_photos_url,analysis_audio_remarks,analysis_audio_remarks_caption,analysis_audio_remarks_url,deleted_by,date_deleted,rejected_by,date_rejected,verified_by,date_verified,submitted_by,date_submitted,approved_by,date_approved,published_by,date_published,one_hidden_variable,number_of_rejections
b00667a8-6cda-4742-afe7-fe5caa6eb7ab,2018-12-05 05:38:58 EST,2018-12-05 05:40:51 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-05 05:40:53 EST,2018-12-05 05:40:53 EST,1,,CABO-test,,,,,,Etienne Laliberté,,2018-12-05,,"1.1, 0.894308943089431, ",,,,,,,,,,,,,,,,,,,,,,,,,,
25f63589-0c9b-46d8-8f38-65a527cea751,2018-12-05 08:19:29 EST,2018-12-05 08:24:48 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-05 08:24:51 EST,2018-12-05 08:24:51 EST,1,,CABO-test,,,,,,Etienne Laliberté,,2018-12-05,Test,"1.00908248378128, ","1.00463392029657, ","1.0014828544949, ","0, ",,,,,,,,,,,,,,,,,,,,,,,
4d5b6f8c-e825-4a7c-82d6-c91bf78dbd64,2018-12-05 09:12:52 EST,2018-12-05 09:38:56 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-05 09:12:57 EST,2018-12-05 09:38:58 EST,2,,CABO-test,,,,,24876714,Etienne Laliberté,,2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac79a612-2569-4d79-af93-9710012d9d18,2018-12-10 14:29:54 EST,2018-12-10 14:57:36 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-10 14:38:17 EST,2018-12-10 14:57:39 EST,3,,CABO-test,,,,,25327736,Etienne Laliberté,,2018-12-10,,"1.00908248378128, , ","1.00463392029657, , ","1.0014828544949, , ","0.00370713623726125, , ",,,,,,,,,,,,,,,,,,,,,,,
422a23c6-4a6f-44d7-9e64-b00fbea15c69,2018-12-13 19:15:09 EST,2018-12-13 20:23:01 EST,jeremy.goimard@gmail.com,jeremy.goimard@gmail.com,2018-12-13 19:18:23 EST,2018-12-13 20:23:07 EST,2,,CABO-test,,,,,25604051,Jérémy Goimard,,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099efce-92a8-48fb-b559-495a3163896d,2018-12-20 10:31:15 EST,2018-12-20 10:47:23 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-20 10:47:26 EST,2018-12-20 10:47:26 EST,1,,CABO-test,,,,,26177417,Etienne Laliberté,,2018-12-20,,0.9976,0.999,1.002,0.0999999999999943,,,,,,,,,,,,,,,,,,,,,,,
17ec9326-ae02-4b95-984c-d3399dd3711a,2018-12-21 11:06:38 EST,2019-04-10 14:56:22 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:38 EST,2019-04-10 14:59:28 EDT,6,verified,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-09,Batch number 1,1.009082483781279,1.004633920296571,1.0014828544949028,0.00370713623726125,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
447c47ab-8d0f-4d59-a580-80491e96164c,2018-12-21 11:06:38 EST,2019-04-10 14:58:32 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:38 EST,2019-04-10 14:59:16 EDT,4,verified,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-12,Batch number 2,1.0087393082930458,1.0042766827817033,1.0059501673484568,0.003161026403866848,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
19230fe0-b977-4768-b547-0e99eeb24a53,2018-12-21 11:06:39 EST,2019-04-10 14:57:46 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:39 EST,2019-04-10 14:59:32 EDT,10,verified,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-21,Batch number 3,1.0187631629331801,1.0143595634692706,1.0084242772353054,0.0013402259237954596,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
41846e26-d29c-4814-aafb-0bfd9f108c14,2018-12-21 11:06:40 EST,2019-04-10 14:56:29 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:40 EST,2019-04-10 14:59:30 EDT,8,verified,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-23,Batch number 5. Batch split with Beauchamp-Rioux batch 1.,1.0066835260115607,1.0032514450867052,1.0025289017341041,0.003070809248554174,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
7a94bcfc-5e59-4533-bd66-7440bdd4db0a,2018-12-21 11:06:40 EST,2019-04-10 14:58:13 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:40 EST,2019-04-10 14:59:29 EDT,6,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-23,Batch number 1. Batch split with Girard batch 5.,1.0066835260115607,1.0032514450867052,1.0025289017341041,0.003070809248554174,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
6d617a4d-6021-48ed-98cf-099583c948be,2018-12-21 11:06:40 EST,2019-04-10 14:58:07 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:40 EST,2019-04-10 14:59:18 EDT,4,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-27,Batch number 2,1.0050139275766017,1.0001857010213555,1.0003714020427112,0.0027855153203343677,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
16a4c3de-1946-443e-a41d-ee7df44e0432,2018-12-21 11:06:41 EST,2019-04-10 14:57:59 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:41 EST,2019-04-10 14:59:20 EDT,4,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-28,Batch number 3,1.010219249349684,1.0042735042735043,1.003901895206243,0.002972872538096203,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
38277f50-85da-438b-b9e0-41d69fc70209,2018-12-21 11:06:41 EST,2019-04-10 14:57:52 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:41 EST,2019-04-10 14:59:21 EDT,4,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-30,Batch number 4,1.0068977714892111,1.0021223912274495,1.0015917934205871,0.004067916519281473,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
670cd215-e671-408a-86c7-9be68d3b7171,2018-12-21 11:06:42 EST,2019-04-10 14:57:36 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:42 EST,2019-04-10 14:59:22 EDT,4,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-05,Batch number 5,1.0062769010043042,1.0007173601147776,1,0.0034074605451921173,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
24f9db29-4420-45a1-80b1-fed9e0328ce2,2018-12-21 11:06:42 EST,2019-04-10 14:57:07 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:42 EST,2019-04-10 14:59:24 EDT,4,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-07,Batch number 6,1.0076417273858183,1.001421716722943,1.0010662875422074,0.001954860494048319,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
b717962f-a9bf-46bc-bd74-c48fed3de439,2018-12-21 11:06:42 EST,2019-04-10 14:56:52 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2018-12-21 11:06:42 EST,2019-04-10 14:59:25 EDT,5,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-10,Batch number 7,1.0044762757385857,1,1.0005371530886302,0.0019695613249793896,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
54f1c593-899d-4d23-b8bb-235022cc0634,2018-12-21 11:06:43 EST,2019-10-28 20:42:48 EDT,etienne.laliberte@umontreal.ca,rosalie.beauchamp-rioux@umontreal.ca,2018-12-21 11:06:43 EST,2019-10-28 20:42:51 EDT,7,verified,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-12,Batch number 8,1.007015650296816,1.0030581039755353,1.001618996222342,0.002878215506385724,,,,,,,,,,,,,,Rosalie Beauchamp-Rioux,2019-10-28,,,,,,,,
c2a15764-614b-4ad3-baa2-b3c445de1cb4,2019-01-07 13:24:16 EST,2019-02-21 12:18:53 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-07 15:09:04 EST,2019-02-21 12:25:52 EST,10,verified,2018-BeauchampRioux-MSc-UdeM,,,,,27742998,Fabien Cichonski,,2019-01-07,Batch number 9 - Série ø,1.02444403602279,1.012313912883661,1.004410953868774,0.0031244256570475844,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
