fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,bag_number,sample_type,leaf_chemistry_sample,bottle_id,sample_remarks,empty_bag_weight_g,sample_weight_g,total_initial_weight_g,ndf_weight_g,ndf_correction_factor,adf_weight_g,adf_correction_factor,adl_weight_g,adl_correction_factor,empty_crucible_weight_g,crucible_adl_weight_g,crucible_ash_weight_g,ash_weight_g,ashing_correction_factor,soluble_perc,hemicellulose_perc,cellulose_perc,lignin_perc,recalcitrants_perc,sum_fractions_perc,ndf_perc,adf_perc,adl_perc,test_ndf_correction_factors_local,quality_flag_bag,quality_comments_bag
c18e906d-dd35-476a-84e6-4070c54e9a82,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,1,2018-12-05 05:39:01 EST,2018-12-05 05:39:07 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,1,blank,,,,1,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,
8a774017-18c8-46c3-b950-3ec4a9b9e87d,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,1,2018-12-05 05:39:21 EST,2018-12-05 05:39:46 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2,blank,,,,1.23,,,1.1,0.894308943089431,,,,,,,,,,,,,,,,,,,,,
e3e840e4-05ac-4373-befd-02627ee30743,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,b00667a8-6cda-4742-afe7-fe5caa6eb7ab,1,2018-12-05 05:39:51 EST,2018-12-05 05:40:34 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,3,sample,caabe53a-cc63-43d9-acee-8b9ffede3379,10290262,,1.23,,,2,,,,,,,,,,,,,,,,,,,,,,
4e7c9593-1fe3-4c54-bad0-3d2de05a53ba,25f63589-0c9b-46d8-8f38-65a527cea751,25f63589-0c9b-46d8-8f38-65a527cea751,1,2018-12-05 08:19:49 EST,2018-12-05 08:22:15 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,1,blank,,,,0.5395,,,0.5444,1.00908248378128,0.542,1.00463392029657,0.5403,1.0014828544949,23.22,23.7603,23.22,0,0,,,,,,,,,,,,
82bfa8dc-e3aa-495a-9f53-053764f3c5c1,25f63589-0c9b-46d8-8f38-65a527cea751,25f63589-0c9b-46d8-8f38-65a527cea751,1,2018-12-05 08:22:17 EST,2018-12-05 08:24:43 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2,sample,b62656ff-a793-4deb-aed2-434ce13b4cc0,11757342,,0.5359,0.499,1.0349,0.7224,,0.6732,,0.6228,,33.0782,33.701,33.0823,0.004099999999994,,,,,,,,,,,,,
71dbac18-380a-4132-80ad-2654e3a9503d,ac79a612-2569-4d79-af93-9710012d9d18,ac79a612-2569-4d79-af93-9710012d9d18,2,2018-12-10 14:30:46 EST,2018-12-10 14:57:26 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,1,blank,,10290262,,0.5395,,,0.5444,1.00908248378128,0.542,1.00463392029657,0.5403,1.0014828544949,23.22,23.7603,23.222,0.00200000000000244,0.00370713623726125,,,,,,,,,,,,
1609ff16-d09d-4043-b877-ecad91c13226,ac79a612-2569-4d79-af93-9710012d9d18,ac79a612-2569-4d79-af93-9710012d9d18,1,2018-12-10 14:33:36 EST,2018-12-10 14:34:59 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2,sample,580e7ef8-1d86-4460-85c9-924fce4d843e,10288582,,0.5359,0.499,1.0349,0.7724,,0.6732,,0.6228,,33.0782,33.701,33.0823,0.004099999999994,,52.6052104208417,,,,,,,,,,,
ca574462-ccb0-4462-b9d7-bfbb61c9998d,ac79a612-2569-4d79-af93-9710012d9d18,ac79a612-2569-4d79-af93-9710012d9d18,1,2018-12-10 14:57:27 EST,2018-12-10 14:57:30 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,3,blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53201c40-6a96-46b7-846b-68ff8901afa1,422a23c6-4a6f-44d7-9e64-b00fbea15c69,422a23c6-4a6f-44d7-9e64-b00fbea15c69,1,2018-12-13 19:15:15 EST,2018-12-13 19:15:39 EST,jeremy.goimard@gmail.com,jeremy.goimard@gmail.com,1,blank,,,,0.9,,,0.2,0.22222222222222224,0.2,0.22222222222222224,0.2,0.22222222222222224,10,10.2,10.2,0.1999999999999993,0.22222222222222143,,,,,,,,,,0,,
4c070b53-c312-4f39-a4d0-c459a4599fc5,422a23c6-4a6f-44d7-9e64-b00fbea15c69,422a23c6-4a6f-44d7-9e64-b00fbea15c69,1,2018-12-13 20:20:06 EST,2018-12-13 20:22:57 EST,jeremy.goimard@gmail.com,jeremy.goimard@gmail.com,2,sample,d51360d9-ecf3-42d7-ad30-478ed2ddcea8,11491634,,0.8,2,2.8,0.3,,0.6,,0.2,,10,10.2,10.3,0.3000000000000007,,125,,,,,,,,,,,
5dce4341-e19f-49f5-82cf-aa9db6cc7289,2099efce-92a8-48fb-b559-495a3163896d,2099efce-92a8-48fb-b559-495a3163896d,1,2018-12-20 10:33:20 EST,2018-12-20 10:46:41 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,1,blank,,,,0.5,,,0.4988,0.9976,0.4995,0.999,0.501,1.002,33,33.501,33.05,0.0499999999999972,0.0999999999999943,,,,,,,,,,0.9976,,
6102fc88-3dc0-4a31-bd23-969102f80274,2099efce-92a8-48fb-b559-495a3163896d,2099efce-92a8-48fb-b559-495a3163896d,1,2018-12-20 10:36:19 EST,2018-12-20 10:47:19 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2,sample,caabe53a-cc63-43d9-acee-8b9ffede3379,10290262,,0.5,0.48,0.98,0.78,,0.59,,0.52,,34,34.52,34.06,0.0600000000000023,,41.6666666666667,39.7291666666667,14.8958333333333,1.87499999999894,2.0833333333344,100.25,58.5833333333333,18.8541666666667,3.95833333333334,0.9976,,
227b913e-eae6-4b30-b732-174c3d5ea725,17ec9326-ae02-4b95-984c-d3399dd3711a,17ec9326-ae02-4b95-984c-d3399dd3711a,3,2018-12-21 12:10:50 EST,2019-04-10 11:32:29 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,1,blank,,,,0.5395,,,0.5444,1.009082483781279,0.542,1.004633920296571,0.5403,1.0014828544949028,23.22,23.760299999999997,23.222,0.0020000000000024443,0.00370713623726125,,,,,,,,,,1.00908248378128,good,
1a339382-0b8c-4edb-875f-3197bbf11e8b,17ec9326-ae02-4b95-984c-d3399dd3711a,17ec9326-ae02-4b95-984c-d3399dd3711a,3,2018-12-21 12:10:50 EST,2019-04-10 11:30:20 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2,sample,b62656ff-a793-4deb-aed2-434ce13b4cc0,11757342,,0.5359,0.499,1.0349,0.7224,,0.6732,,0.6228,,33.0782,33.701,33.0823,0.004099999999993997,,63.60066193554867,9.381966899507805,9.761792352081187,16.832062642432337,0.4235161704299986,100,36.39933806445133,27.017371164943523,17.255578812862336,1.00908248378128,good,
